Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS number_of_singers FROM singer GROUP BY country","SELECT S.country, COUNT(S.singer_id) AS number_of_singers FROM singer AS S GROUP BY S.country",1,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) AS number_of_singers FROM singer GROUP BY country ORDER BY number_of_singers DESC","SELECT S.country, COUNT(S.singer_id) AS number_of_singers FROM singer AS S GROUP BY S.country",1,1
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer s WHERE s.age > (SELECT AVG(age) FROM singer),SELECT T2.song_name FROM singer AS T1 INNER JOIN singer_in_concert AS T3 ON T1.singer_id = T3.singer_id INNER JOIN concert AS T4 ON T3.concert_id = T4.concert_id INNER JOIN stadium AS T5 ON T4.stadium_id = T5.stadium_id WHERE T1.age > (SELECT AVG(age) FROM singer) AND T5.location = 'USA',1,0
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer s WHERE s.age > (SELECT AVG(age) FROM singer),SELECT DISTINCT T2.song_name FROM singer AS T1 INNER JOIN singer_in_concert AS T3 ON T1.singer_id = T3.singer_id INNER JOIN concert AS T4 ON T3.concert_id = T4.concert_id INNER JOIN stadium AS T5 ON T4.stadium_id = T5.stadium_id WHERE T1.age > (SELECT AVG(age) FROM singer),1,0
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium","SELECT MAX(capacity) AS max_capacity, AVG(capacity) AS avg_capacity FROM stadium","SELECT MAX(capacity) AS max_capacity, AVG(capacity) AS avg_capacity FROM stadium",0,0
What is the average and maximum capacities for all stadiums ?,medium,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS maximum_capacity FROM stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS maximum_capacity FROM stadium",1,1
What is the name and capacity for the stadium with highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT T1.name, T1.capacity FROM stadium AS T1 WHERE T1.average = (SELECT MAX(average) FROM stadium)",1,1
What is the name and capacity for the stadium with the highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)",NULL,1,0
How many concerts are there in year 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) AS total_concerts FROM concert WHERE year = 2014 OR year = 2015,NULL,1,0
How many concerts occurred in 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) AS number_of_concerts FROM concert WHERE year IN (2014, 2015)","SELECT COUNT(DISTINCT concert.concert_id) FROM concert WHERE concert.year IN (2014, 2015)",1,1
Show the stadium name and the number of concerts in each stadium.,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name, COUNT(c.concert_id) AS num_concerts FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id","SELECT T1.name, COUNT(T3.concert_id) AS num_concerts FROM stadium AS T1 INNER JOIN concert AS T3 ON T1.stadium_id = T3.stadium_id GROUP BY T1.stadium_id",1,1
"For each stadium, how many concerts play there?",medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.name, COUNT(concert.concert_id) AS concert_count FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.stadium_id","SELECT T1.stadium_id, T1.name, T1.capacity, COUNT(T2.concert_id) AS num_concerts FROM stadium AS T1 LEFT JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id",1,0
Show the stadium name and capacity with most number of concerts in year 2014 or after.,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.name, s.capacity FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year >= 2014 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1",NULL,1,0
What is the name and capacity of the stadium with the most concerts after 2013 ?,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT s.name, s.capacity FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year > 2013 ORDER BY COUNT(c.concert_id) DESC LIMIT 1",NULL,0,0
Which year has most number of concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT year, COUNT(*) AS concert_count FROM concert GROUP BY year ORDER BY concert_count DESC LIMIT 1","SELECT T3.year, COUNT(T3.year) AS num_concerts FROM concert AS T3 GROUP BY T3.year ORDER BY num_concerts DESC LIMIT 1",0,0
What is the year that had the most concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT year, COUNT(*) AS concert_count FROM concert GROUP BY year ORDER BY concert_count DESC LIMIT 1","SELECT T3.year FROM concert AS T3 INNER JOIN (SELECT T4.year, COUNT(T4.year) AS year_count FROM concert AS T4 GROUP BY T4.year) AS T5 ON T3.year = T5.year ORDER BY T5.year_count DESC LIMIT 1",0,0
Show the stadium names without any concert.,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,SELECT s.name FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,1,1
What are the names of the stadiums without any concerts?,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,SELECT s.name FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,1,1
Show countries where a singer above age 40 and a singer below 30 are from.,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT DISTINCT s1.country FROM singer s1 JOIN singer s2 ON s1.country = s2.country WHERE s1.age > 40 AND s2.age < 30,SELECT DISTINCT T1.country FROM singer AS T1 INNER JOIN singer AS T2 ON T1.country = T2.country WHERE T1.age > 40 AND T2.age < 30,1,1
Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 ),SELECT s.name FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.year != 2014 OR c.year IS NULL,1,0
What are the names of all stadiums that did not have a concert in 2014?,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL,NULL,1,0
Show the name and theme for all concerts and the number of singers in each concert.,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.concert_name, c.theme, COUNT(s.singer_id) AS number_of_singers FROM concert c LEFT JOIN singer_in_concert s ON c.concert_id = s.concert_id GROUP BY c.concert_id",NULL,1,0
"What are the names , themes , and number of singers for every concert ?",medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT    concert.concert_name,   concert.theme,   COUNT(singer_in_concert.singer_id) AS number_of_singers FROM    concert JOIN    singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY    concert.concert_id",NULL,1,0
List singer names and number of concerts for each singer.,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(sc.concert_id) AS number_of_concerts FROM singer s JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.singer_id ORDER BY number_of_concerts DESC, s.name","SELECT T2.name, COUNT(T3.concert_id) AS NumberOfConcerts FROM singer AS T2 INNER JOIN singer_in_concert AS T3 ON T2.singer_id = T3.singer_id GROUP BY T2.singer_id",1,1
What are the names of the singers and number of concerts for each person?,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(sc.concert_id) AS number_of_concerts FROM singer s JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.singer_id ORDER BY number_of_concerts DESC, s.name ASC",NULL,1,0
List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT DISTINCT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014,SELECT DISTINCT T2.name FROM singer AS T2 INNER JOIN singer_in_concert AS T1 ON T2.singer_id = T1.singer_id INNER JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year = 2014,1,1
What are the names of the singers who performed in a concert in 2014?,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT DISTINCT s.name FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON sic.concert_id = c.concert_id WHERE c.year = 2014,NULL,1,0
what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T2.name, T2.country FROM singer AS T1 INNER JOIN singer AS T2 ON T1.singer_id = T2.singer_id WHERE T1.song_name LIKE '%Hey%'",1,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name, s.country FROM singer s WHERE s.song_name LIKE '%Hey%'",NULL,1,0
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2","SELECT DISTINCT T1.name, T1.location FROM stadium AS T1 INNER JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year IN (2014, 2015)",1,0
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT DISTINCT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2",NULL,1,0
Find the number of concerts happened in the stadium with the highest capacity .,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) AS number_of_concerts FROM concert WHERE stadium_id = (     SELECT stadium_id     FROM stadium     ORDER BY capacity DESC     LIMIT 1 ),SELECT COUNT(T3.concert_id) FROM concert AS T3 INNER JOIN stadium AS T1 ON T3.stadium_id = T1.stadium_id WHERE T1.capacity = (SELECT MAX(T2.capacity) FROM stadium AS T2),1,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(c.concert_id) AS number_of_concerts FROM concert c JOIN stadium s ON c.stadium_id = s.stadium_id WHERE s.stadium_id = (     SELECT stadium_id     FROM stadium     ORDER BY capacity DESC     LIMIT 1 ),NULL,1,0
Find the number of pets whose weight is heavier than 10.,easy,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM pets WHERE weight > 10,SELECT COUNT(*) FROM pets WHERE weight > 10,1,1
How many pets have a greater weight than 10?,easy,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM pets WHERE weight > 10,SELECT COUNT(*) FROM pets WHERE weight > 10,1,1
Find the weight of the youngest dog.,medium,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT MIN(weight) AS min_weight FROM pets WHERE pettype = 'dog',SELECT MIN(T3.weight) FROM has_pet AS T1 INNER JOIN pets AS T2 ON T1.petid = T2.petid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T2.pettype = 'dog' AND T3.pettype = 'dog',1,1
How much does the youngest dog weigh?,medium,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT MIN(p.weight) AS min_weight FROM pets p JOIN has_pet hp ON p.petid = hp.petid WHERE p.pettype = 'dog',SELECT MIN(T3.weight) FROM has_pet AS T1 INNER JOIN pets AS T2 ON T1.petid = T2.petid INNER JOIN student AS T3 ON T1.stuid = T3.stuid WHERE T2.pettype = 'dog' AND T3.sex = 'female',1,0
Find the maximum weight for each type of pet. List the maximum weight and pet type.,medium,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT pettype, MAX(weight) AS max_weight FROM pets GROUP BY pettype","SELECT pettype, MAX(weight) FROM pets GROUP BY pettype",0,0
List the maximum weight and type for each type of pet.,medium,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT pettype, MAX(weight) AS max_weight FROM pets GROUP BY pettype","SELECT pettype, MAX(weight) FROM pets GROUP BY pettype",0,0
Find number of pets owned by students who are older than 20.,medium,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,SELECT COUNT(DISTINCT hp.petid) AS num_pets FROM has_pet hp JOIN student s ON hp.stuid = s.stuid WHERE s.age > 20,SELECT COUNT(DISTINCT T2.petid) FROM student AS T1 INNER JOIN has_pet AS T2 ON T1.stuid = T2.stuid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T1.age > 20,1,1
How many pets are owned by students that have an age greater than 20?,medium,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,SELECT COUNT(*) AS num_pets FROM has_pet hp JOIN student s ON hp.stuid = s.stuid WHERE s.age > 20,NULL,1,0
Find the number of dog pets that are raised by female students (with sex F).,hard,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',SELECT COUNT(*) AS number_of_dog_pets FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid WHERE p.pettype = 'dog' AND s.sex = 'F',SELECT COUNT(DISTINCT T2.petid) FROM student AS T1 INNER JOIN has_pet AS T2 ON T1.stuid = T2.stuid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype = 'dog' AND T1.sex = 'F',1,1
How many dog pets are raised by female students?,hard,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',SELECT COUNT(*) FROM (SELECT DISTINCT p.petid FROM pets p JOIN has_pet hp ON p.petid = hp.petid JOIN student s ON hp.stuid = s.stuid WHERE p.pettype = 'dog' AND s.sex = 'F') AS dog_pets_by_female_students,NULL,1,0
Find the number of distinct type of pets.,easy,SELECT count(DISTINCT pettype) FROM pets,SELECT COUNT(DISTINCT pettype) FROM pets,SELECT COUNT(DISTINCT T2.pettype) FROM has_pet AS T1 INNER JOIN pets AS T2 ON T1.petid = T2.petid,1,1
How many different types of pet are there?,easy,SELECT count(DISTINCT pettype) FROM pets,SELECT COUNT(DISTINCT pettype) AS distinct_pet_types FROM pets,SELECT COUNT(DISTINCT pettype) FROM pets,1,1
Find the first name of students who have cat or dog pet.,extra,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',"SELECT DISTINCT s.fname FROM student s JOIN has_pet hp ON s.stuid = hp.stuid JOIN pets p ON hp.petid = p.petid WHERE p.pettype IN ('cat', 'dog')","SELECT DISTINCT T1.fname FROM student AS T1 INNER JOIN has_pet AS T2 ON T1.stuid = T2.stuid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype IN ('cat', 'dog')",1,1
What are the first names of every student who has a cat or dog as a pet?,extra,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',"SELECT DISTINCT s.fname FROM student s JOIN has_pet hp ON s.stuid = hp.stuid JOIN pets p ON hp.petid = p.petid WHERE p.pettype IN ('cat', 'dog')",NULL,1,0
Find the first name of students who have both cat and dog pets .,extra,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',"SELECT DISTINCT s.fname FROM student s JOIN has_pet hp ON s.stuid = hp.stuid JOIN pets p ON hp.petid = p.petid WHERE p.pettype IN ('cat', 'dog') GROUP BY s.stuid HAVING COUNT(DISTINCT p.pettype) = 2","SELECT DISTINCT T1.fname FROM student AS T1 INNER JOIN has_pet AS T2 ON T1.stuid = T2.stuid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype IN ('cat', 'dog') GROUP BY T1.fname HAVING COUNT(DISTINCT T3.pettype) = 2",1,1
What are the students' first names who have both cats and dogs as pets?,extra,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',"SELECT DISTINCT s.fname FROM student s JOIN has_pet hp ON s.stuid = hp.stuid JOIN pets p ON hp.petid = p.petid WHERE p.pettype IN ('cat', 'dog') GROUP BY s.fname HAVING COUNT(DISTINCT p.pettype) = 2",NULL,1,0
Find the major and age of students who do not have a cat pet.,extra,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT DISTINCT s.major, s.age FROM student s LEFT JOIN has_pet hp ON s.stuid = hp.stuid LEFT JOIN pets p ON hp.petid = p.petid WHERE p.pettype != 'cat' ORDER BY s.major, s.age","SELECT DISTINCT T1.major, T1.age FROM student AS T1 INNER JOIN has_pet AS T2 ON T1.stuid = T2.stuid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype != 'cat'",0,0
"What major is every student who does not own a cat as a pet, and also how old are they?",extra,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT s.major, s.age FROM student s WHERE NOT EXISTS (     SELECT 1     FROM has_pet hp     JOIN pets p ON hp.petid = p.petid     WHERE p.pettype = 'cat' AND hp.stuid = s.stuid )","SELECT DISTINCT T1.major, T1.age FROM student AS T1 INNER JOIN has_pet AS T2 ON T1.stuid = T2.stuid INNER JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype != 'cat'",1,0
Find the id of students who do not have a cat pet.,hard,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',SELECT s.stuid FROM student s LEFT JOIN has_pet hp ON s.stuid = hp.stuid LEFT JOIN pets p ON hp.petid = p.petid WHERE p.pettype != 'cat' OR p.pettype IS NULL,SELECT DISTINCT T1.stuid FROM student AS T1 LEFT JOIN has_pet AS T2 ON T1.stuid = T2.stuid LEFT JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype != 'cat',1,0
What are the ids of the students who do not own cats as pets?,hard,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',SELECT s.stuid FROM student s LEFT JOIN has_pet hp ON s.stuid = hp.stuid LEFT JOIN pets p ON hp.petid = p.petid WHERE p.pettype != 'cat' ,SELECT DISTINCT T1.stuid FROM student AS T1 LEFT JOIN has_pet AS T2 ON T1.stuid = T2.stuid LEFT JOIN pets AS T3 ON T2.petid = T3.petid WHERE T3.pettype != 'Cat',0,0
